job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析师,基金,上海市,31.5,Power BI;SQL;Python,5-10年,本科,其他;数据库;后端开发,power bi;sql;python,"['power bi', 'sql', 'python']"
数据分析师,互联网,上海市,40.8,,3-5年,本科,,,['']
知名游戏-增长数据分析师-ACG,互联网,上海市,96.0,SQL;Python;MATLAB;Tableau,3-5年,本科,数据库;后端开发;其他,sql;python;matlab;tableau,"['sql', 'python', 'matlab', 'tableau']"
数据分析师-生活服务方向,电子商务,上海市,88.0,Tableau,3-5年,本科,大数据,tableau,['tableau']
财务分析师（数据驱动，数据分析）,电子商务,上海市,64.0,,5-10年,本科,,,['']
数据分析师,计算机软件,上海市,13.2,SQL;Python,1-3年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,快递,上海市,15.0,SQL;Python,5-10年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师--拓展,互联网,上海市,17.4,SQL;Python,3-5年,本科,数据库;后端开发,sql;python,"['sql', 'python']"
数据分析师,互联网,上海市,25.8,SQL;Hive;Power BI;Clickhouse;Scheduler;Spark,3-5年,本科,数据库;其他;大数据,sql;hive;power bi;clickhouse;scheduler;spark,"['sql', 'hive', 'power bi', 'clickhouse', 'scheduler', 'spark']"
自动驾驶软件工程师-上海&北京&苏州&广州,计算机软件,上海市,56.25,C++;MySQL;系统集成;中间件,3-5年,不限,后端开发;数据库;架构设计,c++;mysql;系统集成;中间件,"['c++', 'mysql', '系统集成', '中间件']"
自动驾驶软件工程师（平台交付）,计算机软件,上海市,60.0,C++,1-3年,本科,后端开发,c++,['c++']
c++软件工程师,仪器仪表,上海市,13.3,C++;QT,1-3年,本科,后端开发;嵌入式/物联网,c++;qt,"['c++', 'qt']"
各类软件工程师,互联网,上海市,21.0,C++;Java,10年以上,本科,后端开发;前端开发,c++;java,"['c++', 'java']"
赴日软件工程师（福冈base，他城市あり）,计算机软件,上海市,32.9,Java;Spring;Oracle,经验不限,大专,前端开发;后端开发;数据库,java;spring;oracle,"['java', 'spring', 'oracle']"
软件工程师,通信/网络设备,上海市,21.0,C++;Python,5-10年,本科,后端开发,c++;python,"['c++', 'python']"
软件工程师,电子/半导体/集成电路,上海市,8.4,C++;仪表;VC++;软件工程师;Python,经验不限,本科,后端开发;其他,c++;仪表;vc++;软件工程师;python,"['c++', '仪表', 'vc++', '软件工程师', 'python']"
软件工程师,物流/仓储,上海市,24.5,C#;Java;WCS;四向车调度,5-10年,本科,其他;后端开发;前端开发,c#;java;wcs;四向车调度,"['c#', 'java', 'wcs', '四向车调度']"
软件工程师（视觉识别方向）,智能硬件,上海市,52.0,C++;QT;相机选型开发,5-10年,本科,后端开发;嵌入式/物联网;其他,c++;qt;相机选型开发,"['c++', 'qt', '相机选型开发']"
自动化软件工程师,学校/学历教育,上海市,30.0,C++,经验不限,本科,后端开发,c++,['c++']
PHP/JAVA/Python软件工程师,日化,上海市,12.6,PHP;Java;Python,经验不限,本科,后端开发;前端开发,php;java;python,"['php', 'java', 'python']"
Java软件工程师,计算机软件,上海市,18.0,JVM;Java;大模型与政务开发;SpringCloud;MySQL;MyBatis,3-5年,本科,其他;后端开发;前端开发,jvm;java;大模型与政务开发;springcloud;mysql;mybatis,"['jvm', 'java', '大模型与政务开发', 'springcloud', 'mysql', 'mybatis']"
EMS软件工程师 （后端）,新能源,上海市,63.0,C++;Java;Golang;Python;QT,3-5年,本科,后端开发;前端开发;嵌入式/物联网,c++;java;golang;python;qt,"['c++', 'java', 'golang', 'python', 'qt']"
运控软件工程师/专家,智能硬件,上海市,71.25,C++;运控;工程开发能力,5-10年,本科,其他;后端开发,c++;运控;工程开发能力,"['c++', '运控', '工程开发能力']"
运动控制软件工程师,其他行业,上海市,51.1,C++;QT;仿生机器人;工业机器人,经验不限,本科,其他;后端开发;嵌入式/物联网,c++;qt;仿生机器人;工业机器人,"['c++', 'qt', '仿生机器人', '工业机器人']"
助理软件工程师,通信/网络设备,上海市,13.65,C语言,1-3年,本科,其他,c语言,['c语言']
软件工程师,医疗器械,上海市,37.1,C++,经验不限,不限,后端开发,c++,['c++']
高级c++软件工程师,半导体/芯片,上海市,37.5,C++;逻辑开发;定位算法;规划算法,3-5年,本科,其他;后端开发,c++;逻辑开发;定位算法;规划算法,"['c++', '逻辑开发', '定位算法', '规划算法']"
c++高级软件工程师,通信/网络设备,上海市,52.5,C++;STL,1-3年,本科,后端开发;其他,c++;stl,"['c++', 'stl']"
软件工程师,电子/半导体/集成电路,上海市,33.75,C#;C++;EAP;半导体设备;SECS/GEM,3-5年,本科,其他;后端开发,c#;c++;eap;半导体设备;secs/gem,"['c#', 'c++', 'eap', '半导体设备', 'secs/gem']"
软件工程师（QT开发方向）,通信/网络设备,上海市,58.5,C++;QT;自动驾驶,3-5年,本科,后端开发;嵌入式/物联网;其他,c++;qt;自动驾驶,"['c++', 'qt', '自动驾驶']"
